,Temperature,Dew Point,Humidity,Speed,Pressure,Precip. Accum.,,,,,,,,,
5/15/2020,30.4 C,15.7 C,6.8 C,21.8 C,10.2 C,4.3 C,91 %,72 %,41 %,19.2 km/h,4.2 km/h,0.0 km/h,"1,003.05 hPa",998.31 hPa,0.00 mm
5/16/2020,32.4 C,22.6 C,11.1 C,23.6 C,15.7 C,9.4 C,90 %,66 %,45 %,22.5 km/h,7.3 km/h,0.0 km/h,999.32 hPa,993.23 hPa,0.00 mm
5/17/2020,32.2 C,19.2 C,10.8 C,23.4 C,13.7 C,9.8 C,94 %,73 %,48 %,22.5 km/h,5.6 km/h,0.0 km/h,998.98 hPa,994.58 hPa,0.00 mm
5/18/2020,28.7 C,18.9 C,11.1 C,20.2 C,12.7 C,9.3 C,94 %,69 %,44 %,22.5 km/h,5.9 km/h,0.0 km/h,999.66 hPa,994.24 hPa,0.00 mm
5/19/2020,17.4 C,13.0 C,12.1 C,12.6 C,7.3 C,5.2 C,99 %,69 %,60 %,14.2 km/h,7.6 km/h,0.0 km/h,995.60 hPa,994.24 hPa,0.00 mm
5/20/2020,25.5 C,19.7 C,14.0 C,17.3 C,14.1 C,10.6 C,88 %,71 %,60 %,36.5 km/h,10.5 km/h,0.0 km/h,996.61 hPa,990.52 hPa,0.00 mm
5/21/2020,14.9 C,13.4 C,12.0 C,10.6 C,9.1 C,7.6 C,84 %,76 %,65 %,42.3 km/h,18.3 km/h,3.5 km/h,"1,006.10 hPa",995.60 hPa,0.51 mm
5/22/2020,14.7 C,11.2 C,5.7 C,8.4 C,4.1 C,0.1 C,81 %,63 %,41 %,43.9 km/h,16.0 km/h,0.0 km/h,"1,012.53 hPa","1,005.42 hPa",2.03 mm
5/23/2020,20.7 C,8.9 C,1.3 C,5.7 C,0.5 C,-5.7 C,90 %,59 %,24 %,17.5 km/h,3.7 km/h,0.0 km/h,"1,012.53 hPa","1,004.74 hPa",2.03 mm
5/24/2020,25.0 C,11.6 C,2.3 C,16.7 C,5.1 C,-4.7 C,99 %,68 %,28 %,20.0 km/h,4.2 km/h,0.0 km/h,"1,004.74 hPa",994.24 hPa,0.00 mm
5/25/2020,23.2 C,14.8 C,7.4 C,15.0 C,3.6 C,1.0 C,87 %,50 %,27 %,31.5 km/h,6.7 km/h,0.0 km/h,"1,005.42 hPa",996.95 hPa,0.00 mm
5/26/2020,14.3 C,8.6 C,0.0 C,8.9 C,3.6 C,0.9 C,86 %,71 %,0 %,22.5 km/h,0.9 km/h,0.0 km/h,"1,005.08 hPa",996.95 hPa,0.00 mm
5/27/2020,25.9 C,15.5 C,7.1 C,17.6 C,9.2 C,5.6 C,92 %,69 %,38 %,29.9 km/h,8.5 km/h,0.0 km/h,997.29 hPa,994.24 hPa,0.00 mm
5/28/2020,27.1 C,16.5 C,9.4 C,18.7 C,11.0 C,7.3 C,95 %,72 %,45 %,19.2 km/h,5.4 km/h,0.0 km/h,997.29 hPa,993.23 hPa,0.00 mm
5/29/2020,27.1 C,16.0 C,7.3 C,18.7 C,11.2 C,5.4 C,92 %,75 %,51 %,21.7 km/h,3.5 km/h,0.0 km/h,997.97 hPa,992.21 hPa,0.00 mm
5/30/2020,12.3 C,10.8 C,9.0 C,9.7 C,6.4 C,3.4 C,91 %,75 %,57 %,39.9 km/h,13.8 km/h,2.7 km/h,"1,007.11 hPa",997.97 hPa,0.00 mm
5/31/2020,17.8 C,10.5 C,4.3 C,5.1 C,2.9 C,-0.5 C,81 %,61 %,32 %,22.5 km/h,4.2 km/h,0.0 km/h,"1,008.47 hPa","1,004.40 hPa",0.00 mm
6/1/2020,19.9 C,8.7 C,0.8 C,4.1 C,0.0 C,-6.1 C,84 %,57 %,32 %,10.9 km/h,1.8 km/h,0.0 km/h,"1,008.47 hPa","1,004.40 hPa",0.00 mm
6/2/2020,19.0 C,9.3 C,1.3 C,5.8 C,1.3 C,-5.7 C,86 %,59 %,29 %,24.1 km/h,6.5 km/h,0.0 km/h,"1,006.10 hPa",998.98 hPa,0.00 mm
6/3/2020,16.5 C,10.6 C,3.4 C,9.2 C,6.1 C,2.6 C,99 %,76 %,54 %,18.3 km/h,2.8 km/h,0.0 km/h,"1,008.81 hPa",999.66 hPa,0.00 mm
6/4/2020,20.3 C,12.0 C,5.9 C,10.4 C,6.9 C,4.2 C,93 %,72 %,50 %,13.4 km/h,3.1 km/h,0.0 km/h,"1,009.14 hPa","1,003.73 hPa",0.00 mm
6/5/2020,18.0 C,11.3 C,7.9 C,9.2 C,6.6 C,4.5 C,90 %,74 %,51 %,24.9 km/h,5.9 km/h,0.0 km/h,"1,005.08 hPa",999.66 hPa,0.00 mm
6/6/2020,24.0 C,11.0 C,3.1 C,15.8 C,6.2 C,1.3 C,99 %,75 %,38 %,11.7 km/h,2.3 km/h,0.0 km/h,"1,001.36 hPa",995.60 hPa,0.00 mm
6/7/2020,22.0 C,11.5 C,3.9 C,13.0 C,7.6 C,3.7 C,99 %,81 %,41 %,18.3 km/h,3.5 km/h,0.0 km/h,"1,001.36 hPa",996.61 hPa,0.00 mm
6/8/2020,23.4 C,13.4 C,6.2 C,15.2 C,10.4 C,6.1 C,99 %,85 %,55 %,12.6 km/h,2.3 km/h,0.0 km/h,"1,000.00 hPa",995.06 hPa,0.00 mm
6/9/2020,25.0 C,14.5 C,6.6 C,16.7 C,10.7 C,6.4 C,99 %,81 %,49 %,17.5 km/h,2.3 km/h,0.0 km/h,999.49 hPa,993.74 hPa,0.00 mm
6/10/2020,25.3 C,15.2 C,9.7 C,16.9 C,11.6 C,8.2 C,99 %,81 %,53 %,14.2 km/h,2.8 km/h,0.0 km/h,996.89 hPa,992.18 hPa,0.00 mm
6/11/2020,22.9 C,14.3 C,6.9 C,14.8 C,11.0 C,6.6 C,99 %,82 %,51 %,24.1 km/h,5.1 km/h,0.0 km/h,996.89 hPa,986.25 hPa,0.00 mm
6/12/2020,23.0 C,15.1 C,8.3 C,14.8 C,7.3 C,-1.6 C,99 %,67 %,24 %,39.1 km/h,11.4 km/h,0.0 km/h,"1,004.20 hPa",985.68 hPa,0.00 mm
6/13/2020,17.1 C,10.3 C,0.0 C,2.8 C,-1.8 C,-5.9 C,76 %,47 %,0 %,29.9 km/h,7.0 km/h,0.0 km/h,"1,013.68 hPa",999.49 hPa,0.00 mm
6/14/2020,15.7 C,12.7 C,8.9 C,3.4 C,1.2 C,0.1 C,62 %,46 %,36 %,27.5 km/h,9.4 km/h,0.0 km/h,"1,011.89 hPa","1,004.27 hPa",0.00 mm
6/15/2020,18.5 C,11.5 C,0.0 C,8.2 C,4.9 C,1.7 C,84 %,65 %,0 %,20.9 km/h,6.3 km/h,0.0 km/h,"1,004.37 hPa",995.56 hPa,0.00 mm
6/16/2020,25.9 C,16.2 C,6.3 C,19.7 C,13.3 C,5.6 C,98 %,84 %,60 %,27.5 km/h,5.9 km/h,0.0 km/h,997.26 hPa,989.06 hPa,0.00 mm
6/17/2020,29.1 C,21.1 C,13.7 C,20.6 C,16.5 C,8.3 C,88 %,76 %,60 %,40.7 km/h,10.5 km/h,0.0 km/h,989.50 hPa,982.39 hPa,0.00 mm
6/18/2020,25.5 C,15.3 C,9.6 C,17.2 C,7.1 C,3.4 C,79 %,59 %,35 %,29.9 km/h,7.2 km/h,0.0 km/h,997.26 hPa,989.27 hPa,0.00 mm
6/19/2020,25.5 C,13.9 C,6.7 C,17.2 C,9.6 C,5.0 C,99 %,77 %,44 %,26.7 km/h,5.5 km/h,0.0 km/h,997.26 hPa,989.37 hPa,0.00 mm
6/20/2020,15.6 C,10.1 C,6.0 C,14.1 C,9.5 C,5.1 C,99 %,96 %,89 %,18.3 km/h,3.1 km/h,0.0 km/h,997.70 hPa,988.05 hPa,0.00 mm
6/21/2020,19.9 C,12.9 C,7.0 C,12.0 C,6.7 C,0.6 C,99 %,71 %,34 %,34.9 km/h,8.5 km/h,0.0 km/h,"1,003.56 hPa",990.48 hPa,0.00 mm
6/22/2020,19.9 C,10.9 C,2.8 C,12.6 C,5.9 C,-4.2 C,99 %,73 %,56 %,15.9 km/h,4.4 km/h,0.0 km/h,"1,003.56 hPa",987.74 hPa,0.00 mm
6/23/2020,15.0 C,13.0 C,11.4 C,13.2 C,12.1 C,10.6 C,98 %,94 %,88 %,32.5 km/h,9.5 km/h,0.0 km/h,991.70 hPa,988.49 hPa,0.00 mm
6/24/2020,14.1 C,10.2 C,5.6 C,11.4 C,8.4 C,3.7 C,99 %,89 %,73 %,43.1 km/h,11.5 km/h,0.0 km/h,999.26 hPa,987.67 hPa,0.51 mm
6/25/2020,19.0 C,9.0 C,3.6 C,5.4 C,2.4 C,0.4 C,91 %,68 %,32 %,32.5 km/h,8.7 km/h,0.0 km/h,"1,007.38 hPa",999.26 hPa,0.51 mm
6/26/2020,15.4 C,6.7 C,-0.6 C,7.2 C,-0.5 C,-7.4 C,85 %,62 %,36 %,22.5 km/h,3.5 km/h,0.0 km/h,"1,007.01 hPa","1,003.05 hPa",0.00 mm
6/27/2020,18.0 C,7.4 C,-1.4 C,6.0 C,0.3 C,-8.2 C,87 %,63 %,40 %,15.9 km/h,2.7 km/h,0.0 km/h,"1,007.08 hPa","1,004.00 hPa",0.00 mm
6/28/2020,17.7 C,8.8 C,1.7 C,7.7 C,2.0 C,-5.2 C,88 %,64 %,38 %,22.5 km/h,3.4 km/h,0.0 km/h,"1,005.86 hPa",999.39 hPa,0.00 mm
6/29/2020,19.4 C,10.3 C,2.6 C,13.0 C,7.3 C,-4.4 C,99 %,82 %,60 %,15.9 km/h,4.1 km/h,0.0 km/h,"1,000.07 hPa",989.37 hPa,0.00 mm
6/30/2020,16.3 C,10.9 C,7.8 C,9.6 C,6.4 C,3.7 C,99 %,77 %,46 %,48.1 km/h,15.0 km/h,0.0 km/h,"1,004.57 hPa",994.07 hPa,1.78 mm
7/1/2020,12.2 C,9.0 C,5.6 C,8.3 C,5.8 C,4.2 C,96 %,81 %,67 %,26.7 km/h,5.3 km/h,0.0 km/h,"1,005.76 hPa","1,002.57 hPa",0.00 mm
7/2/2020,18.2 C,9.3 C,4.2 C,7.8 C,5.1 C,2.9 C,94 %,77 %,47 %,16.7 km/h,3.4 km/h,0.0 km/h,"1,006.74 hPa","1,002.37 hPa",0.00 mm
7/3/2020,19.5 C,9.7 C,2.1 C,7.9 C,3.7 C,-4.8 C,99 %,69 %,47 %,42.3 km/h,9.7 km/h,0.0 km/h,"1,003.39 hPa",990.69 hPa,0.51 mm
7/4/2020,18.4 C,10.4 C,3.9 C,8.8 C,5.9 C,2.2 C,90 %,75 %,52 %,30.7 km/h,6.6 km/h,0.0 km/h,997.19 hPa,989.20 hPa,0.51 mm
7/5/2020,17.6 C,8.9 C,4.4 C,5.7 C,2.7 C,0.2 C,83 %,67 %,37 %,27.5 km/h,9.3 km/h,0.0 km/h,"1,007.08 hPa",997.19 hPa,0.51 mm
7/6/2020,13.7 C,7.8 C,-0.9 C,5.8 C,0.4 C,-7.7 C,85 %,60 %,43 %,14.2 km/h,4.0 km/h,0.0 km/h,"1,008.26 hPa","1,004.06 hPa",0.51 mm
7/7/2020,10.0 C,7.3 C,3.8 C,6.1 C,3.6 C,1.3 C,91 %,77 %,67 %,15.1 km/h,4.2 km/h,0.0 km/h,"1,005.99 hPa","1,003.39 hPa",0.51 mm
7/8/2020,15.9 C,5.4 C,-2.1 C,7.3 C,-0.7 C,-8.8 C,94 %,66 %,0 %,15.1 km/h,1.7 km/h,0.0 km/h,"1,006.27 hPa","1,000.75 hPa",0.51 mm
7/9/2020,17.0 C,7.3 C,-2.0 C,7.3 C,1.2 C,-8.7 C,99 %,66 %,46 %,30.7 km/h,5.7 km/h,0.0 km/h,"1,006.50 hPa",994.38 hPa,0.51 mm
7/10/2020,19.5 C,11.3 C,0.0 C,9.5 C,6.6 C,3.7 C,91 %,74 %,0 %,32.5 km/h,10.0 km/h,0.0 km/h,"1,001.02 hPa",989.20 hPa,0.51 mm
7/11/2020,20.0 C,9.8 C,1.9 C,4.5 C,-0.7 C,-6.7 C,85 %,54 %,17 %,20.0 km/h,3.3 km/h,0.0 km/h,"1,001.05 hPa",992.38 hPa,0.51 mm
7/12/2020,19.5 C,9.8 C,3.5 C,1.3 C,-1.8 C,-5.8 C,68 %,46 %,26 %,20.9 km/h,4.6 km/h,0.0 km/h,"1,002.51 hPa",993.26 hPa,0.51 mm
7/13/2020,16.5 C,7.1 C,1.0 C,2.8 C,-1.1 C,-5.9 C,82 %,58 %,34 %,23.3 km/h,6.2 km/h,0.0 km/h,"1,009.75 hPa","1,002.37 hPa",0.51 mm
7/14/2020,16.6 C,7.9 C,0.1 C,5.1 C,-0.8 C,-6.7 C,80 %,55 %,39 %,26.7 km/h,5.5 km/h,0.0 km/h,"1,010.26 hPa","1,003.86 hPa",0.51 mm
7/15/2020,16.3 C,8.8 C,2.5 C,3.4 C,1.1 C,-4.5 C,95 %,62 %,38 %,19.2 km/h,5.0 km/h,0.0 km/h,"1,005.18 hPa","1,001.19 hPa",0.51 mm
7/16/2020,23.3 C,16.7 C,9.8 C,15.1 C,3.2 C,0.8 C,70 %,44 %,24 %,10.9 km/h,2.2 km/h,0.0 km/h,"1,001.49 hPa",998.00 hPa,0.51 mm
7/17/2020,17.0 C,9.9 C,4.0 C,12.6 C,8.1 C,2.5 C,99 %,89 %,70 %,29.1 km/h,5.8 km/h,0.0 km/h,"1,000.75 hPa",989.37 hPa,0.51 mm
7/18/2020,17.9 C,13.5 C,10.8 C,17.7 C,13.4 C,10.6 C,99 %,99 %,99 %,23.3 km/h,4.2 km/h,0.0 km/h,992.18 hPa,988.05 hPa,0.51 mm
7/19/2020,15.2 C,13.7 C,12.2 C,15.1 C,13.5 C,12.1 C,99 %,99 %,99 %,20.9 km/h,8.5 km/h,0.0 km/h,995.70 hPa,990.48 hPa,0.51 mm
7/20/2020,14.5 C,11.8 C,10.1 C,14.3 C,11.6 C,9.9 C,99 %,99 %,98 %,22.5 km/h,8.5 km/h,0.0 km/h,996.75 hPa,994.24 hPa,0.51 mm
7/21/2020,14.8 C,12.5 C,11.0 C,14.4 C,12.4 C,10.8 C,99 %,99 %,97 %,23.3 km/h,9.1 km/h,0.0 km/h,998.07 hPa,993.06 hPa,0.51 mm
7/22/2020,15.5 C,12.4 C,10.3 C,11.8 C,10.4 C,7.6 C,99 %,89 %,74 %,26.7 km/h,11.3 km/h,0.0 km/h,"1,000.88 hPa",996.00 hPa,0.51 mm
7/23/2020,11.1 C,7.9 C,5.0 C,7.8 C,5.1 C,2.8 C,86 %,83 %,68 %,33.3 km/h,13.2 km/h,0.0 km/h,"1,002.88 hPa",998.17 hPa,0.51 mm
7/24/2020,19.4 C,6.4 C,-2.6 C,5.3 C,-0.8 C,-9.3 C,95 %,63 %,29 %,20.0 km/h,4.1 km/h,0.0 km/h,"1,006.37 hPa","1,000.75 hPa",0.00 mm
7/25/2020,19.0 C,9.1 C,-0.3 C,3.0 C,-2.0 C,-7.1 C,89 %,50 %,24 %,22.5 km/h,5.8 km/h,0.0 km/h,"1,007.69 hPa","1,001.69 hPa",0.00 mm
7/26/2020,19.3 C,11.4 C,3.6 C,3.8 C,1.5 C,0.1 C,87 %,54 %,32 %,41.5 km/h,11.4 km/h,0.0 km/h,"1,002.51 hPa",993.57 hPa,0.25 mm
7/27/2020,19.3 C,10.9 C,4.2 C,3.2 C,-0.5 C,-4.3 C,78 %,49 %,28 %,39.9 km/h,10.7 km/h,0.0 km/h,"1,009.25 hPa",996.38 hPa,0.25 mm
7/28/2020,18.5 C,8.3 C,0.5 C,-0.6 C,-3.7 C,-6.4 C,66 %,46 %,21 %,17.5 km/h,3.5 km/h,0.0 km/h,"1,011.99 hPa","1,008.26 hPa",0.00 mm
7/29/2020,16.7 C,7.3 C,-1.5 C,-1.1 C,-4.3 C,-8.3 C,67 %,46 %,26 %,26.7 km/h,6.1 km/h,0.0 km/h,"1,012.36 hPa","1,007.99 hPa",0.00 mm
7/30/2020,16.3 C,7.9 C,-1.6 C,2.6 C,-1.5 C,-8.4 C,78 %,53 %,37 %,31.5 km/h,9.0 km/h,0.0 km/h,"1,008.36 hPa","1,000.58 hPa",0.00 mm
7/31/2020,22.9 C,10.8 C,0.8 C,4.7 C,0.9 C,-6.1 C,92 %,55 %,26 %,19.2 km/h,4.1 km/h,0.0 km/h,"1,005.55 hPa","1,001.02 hPa",0.00 mm
8/1/2020,25.9 C,15.2 C,0.0 C,17.6 C,9.5 C,-1.8 C,88 %,70 %,0 %,24.9 km/h,4.8 km/h,0.0 km/h,"1,004.00 hPa",992.55 hPa,0.00 mm
8/2/2020,26.5 C,18.4 C,11.8 C,18.1 C,14.2 C,11.2 C,99 %,79 %,60 %,27.5 km/h,6.7 km/h,0.0 km/h,"1,003.25 hPa",994.51 hPa,0.00 mm
8/3/2020,30.6 C,21.0 C,13.3 C,21.9 C,15.5 C,11.2 C,94 %,73 %,48 %,31.5 km/h,8.4 km/h,0.0 km/h,"1,003.25 hPa",997.49 hPa,0.00 mm
8/4/2020,30.4 C,22.7 C,15.2 C,21.8 C,15.0 C,10.3 C,75 %,62 %,53 %,22.5 km/h,8.1 km/h,0.0 km/h,"1,000.24 hPa",994.55 hPa,0.00 mm
8/5/2020,34.8 C,24.2 C,15.7 C,25.9 C,16.5 C,11.7 C,80 %,63 %,52 %,32.5 km/h,11.1 km/h,0.0 km/h,998.24 hPa,990.99 hPa,0.00 mm
8/6/2020,17.8 C,15.2 C,10.8 C,12.7 C,3.5 C,-1.4 C,74 %,47 %,33 %,46.5 km/h,16.2 km/h,2.7 km/h,"1,009.38 hPa",998.24 hPa,0.00 mm
8/7/2020,17.4 C,11.5 C,7.8 C,9.6 C,5.5 C,0.9 C,83 %,67 %,52 %,22.5 km/h,8.4 km/h,0.0 km/h,"1,008.36 hPa","1,002.57 hPa",0.00 mm
8/8/2020,22.8 C,15.4 C,10.7 C,14.6 C,11.6 C,9.5 C,95 %,79 %,59 %,14.2 km/h,4.7 km/h,0.0 km/h,"1,005.86 hPa",999.70 hPa,0.00 mm
8/9/2020,25.9 C,16.3 C,0.0 C,17.6 C,12.7 C,8.6 C,99 %,81 %,0 %,29.9 km/h,5.4 km/h,0.0 km/h,"1,001.49 hPa",989.06 hPa,0.00 mm
8/10/2020,20.3 C,14.5 C,0.0 C,12.4 C,9.6 C,-7.8 C,85 %,60 %,0 %,29.1 km/h,4.0 km/h,0.0 km/h,"1,005.99 hPa",990.08 hPa,0.00 mm
8/11/2020,18.7 C,9.7 C,1.8 C,-3.1 C,-6.7 C,-10.4 C,50 %,24 %,0 %,22.5 km/h,5.8 km/h,0.0 km/h,"1,007.76 hPa","1,002.00 hPa",0.00 mm
8/12/2020,17.8 C,8.7 C,3.6 C,-2.9 C,-5.1 C,-6.9 C,56 %,31 %,0 %,20.9 km/h,2.9 km/h,0.0 km/h,"1,002.88 hPa",996.17 hPa,0.00 mm
8/17/2020,26.3 C,18.8 C,0.0 C,--,--,--,0 %,0 %,0 %,19.2 km/h,6.8 km/h,0.0 km/h,994.24 hPa,992.69 hPa,0.00 mm
8/18/2020,27.5 C,14.5 C,3.8 C,4.8 C,0.8 C,-1.3 C,84 %,23 %,0 %,29.9 km/h,7.3 km/h,0.0 km/h,"1,000.20 hPa",989.57 hPa,0.00 mm
8/19/2020,12.8 C,8.6 C,2.2 C,-1.9 C,-4.4 C,-8.9 C,50 %,28 %,0 %,31.5 km/h,10.9 km/h,0.0 km/h,"1,017.24 hPa","1,000.20 hPa",0.00 mm
8/20/2020,17.7 C,6.5 C,-2.5 C,-2.4 C,-8.1 C,-11.8 C,66 %,31 %,0 %,15.9 km/h,4.5 km/h,0.0 km/h,"1,020.01 hPa","1,014.36 hPa",0.00 mm
8/23/2020,22.6 C,19.2 C,15.0 C,--,--,--,0 %,0 %,0 %,33.3 km/h,11.9 km/h,0.0 km/h,994.68 hPa,991.37 hPa,0.00 mm
8/24/2020,28.5 C,18.0 C,0.0 C,13.3 C,6.0 C,2.1 C,85 %,20 %,0 %,28.3 km/h,8.8 km/h,0.0 km/h,"1,013.00 hPa",985.68 hPa,0.00 mm
8/25/2020,32.3 C,24.3 C,0.0 C,17.6 C,13.9 C,11.2 C,83 %,45 %,0 %,20.4 km/h,6.8 km/h,0.0 km/h,988.69 hPa,984.05 hPa,0.00 mm
8/26/2020,21.1 C,16.0 C,11.3 C,15.1 C,11.6 C,8.9 C,92 %,76 %,51 %,44.4 km/h,20.6 km/h,1.6 km/h,999.87 hPa,987.50 hPa,0.76 mm
8/27/2020,22.9 C,14.2 C,7.6 C,9.4 C,6.0 C,3.2 C,92 %,62 %,31 %,22.5 km/h,9.6 km/h,0.0 km/h,"1,001.69 hPa",997.05 hPa,0.00 mm
8/28/2020,27.6 C,15.6 C,5.6 C,16.4 C,9.5 C,1.5 C,89 %,68 %,49 %,17.5 km/h,4.9 km/h,0.0 km/h,999.56 hPa,990.55 hPa,0.00 mm
8/29/2020,17.2 C,15.3 C,11.7 C,15.5 C,8.4 C,3.7 C,91 %,65 %,47 %,40.7 km/h,14.6 km/h,0.0 km/h,"1,007.69 hPa",991.50 hPa,0.00 mm
8/30/2020,20.4 C,13.3 C,7.8 C,5.9 C,1.1 C,-3.6 C,64 %,46 %,22 %,20.4 km/h,8.8 km/h,0.0 km/h,"1,010.06 hPa","1,005.25 hPa",0.00 mm
8/31/2020,12.3 C,11.1 C,10.4 C,2.0 C,-0.2 C,-1.6 C,54 %,46 %,40 %,14.8 km/h,5.3 km/h,0.0 km/h,"1,013.99 hPa","1,008.57 hPa",0.00 mm
9/1/2020,10.4 C,9.1 C,8.3 C,7.2 C,4.7 C,1.2 C,93 %,57 %,0 %,15.1 km/h,8.9 km/h,1.6 km/h,"1,014.70 hPa","1,009.25 hPa",0.00 mm
9/2/2020,9.5 C,9.4 C,9.1 C,8.4 C,8.3 C,6.4 C,93 %,93 %,0 %,26.7 km/h,12.3 km/h,9.3 km/h,"1,009.25 hPa","1,001.25 hPa",0.00 mm
9/3/2020,18.5 C,10.9 C,7.1 C,11.3 C,8.5 C,6.7 C,99 %,86 %,61 %,21.7 km/h,9.7 km/h,9.3 km/h,"1,003.18 hPa",997.36 hPa,0.00 mm
9/4/2020,21.4 C,13.0 C,4.3 C,18.2 C,10.6 C,4.1 C,99 %,87 %,59 %,20.9 km/h,9.7 km/h,9.3 km/h,"1,002.07 hPa",997.26 hPa,0.00 mm
9/5/2020,23.6 C,12.6 C,9.1 C,20.3 C,10.5 C,7.3 C,95 %,88 %,52 %,16.7 km/h,9.5 km/h,9.3 km/h,"1,003.01 hPa",998.58 hPa,0.00 mm
9/6/2020,20.9 C,15.9 C,11.3 C,17.7 C,10.3 C,7.4 C,82 %,70 %,48 %,25.7 km/h,10.1 km/h,9.3 km/h,"1,008.20 hPa","1,004.27 hPa",0.00 mm
9/7/2020,22.8 C,13.9 C,8.1 C,19.6 C,10.5 C,5.4 C,84 %,80 %,59 %,16.7 km/h,9.6 km/h,9.3 km/h,"1,008.06 hPa","1,001.86 hPa",0.00 mm
9/11/2020,16.8 C,16.7 C,9.4 C,6.4 C,0.1 C,0.0 C,82 %,33 %,32 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",999.39 hPa,0.00 mm
9/12/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",1.27 mm
9/13/2020,23.1 C,20.9 C,9.4 C,19.9 C,18.2 C,6.4 C,82 %,79 %,0 %,20.0 km/h,14.4 km/h,9.3 km/h,"1,009.25 hPa",998.75 hPa,1.30 mm
9/14/2020,24.8 C,16.9 C,9.2 C,21.5 C,7.1 C,-4.8 C,82 %,56 %,19 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,013.58 hPa","1,006.74 hPa",0.00 mm
9/15/2020,22.9 C,14.1 C,5.9 C,19.7 C,5.6 C,-2.8 C,82 %,59 %,25 %,25.7 km/h,10.4 km/h,9.3 km/h,"1,007.01 hPa",996.00 hPa,0.00 mm
9/19/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
9/20/2020,26.1 C,18.9 C,8.4 C,22.8 C,11.1 C,-2.3 C,82 %,64 %,25 %,16.7 km/h,9.5 km/h,9.3 km/h,"1,008.26 hPa","1,003.39 hPa",0.00 mm
9/21/2020,24.9 C,15.1 C,4.3 C,21.6 C,6.5 C,-4.6 C,82 %,61 %,20 %,24.9 km/h,10.1 km/h,9.3 km/h,"1,008.36 hPa","1,002.88 hPa",0.00 mm
9/22/2020,26.5 C,17.0 C,0.0 C,23.2 C,9.1 C,-2.6 C,82 %,62 %,0 %,31.5 km/h,11.5 km/h,9.3 km/h,"1,003.49 hPa",997.70 hPa,0.00 mm
9/23/2020,32.1 C,18.0 C,0.0 C,28.7 C,10.7 C,1.1 C,82 %,64 %,0 %,19.2 km/h,9.6 km/h,9.3 km/h,"1,009.25 hPa",998.17 hPa,0.00 mm
10/1/2020,18.5 C,13.9 C,9.4 C,6.4 C,1.4 C,-3.7 C,82 %,52 %,22 %,9.7 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa",994.89 hPa,0.00 mm
10/3/2020,15.8 C,14.7 C,0.0 C,6.4 C,-0.1 C,-1.3 C,82 %,36 %,0 %,20.0 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa","1,006.20 hPa",0.00 mm
10/11/2020,18.2 C,13.7 C,0.0 C,6.4 C,3.9 C,1.9 C,82 %,53 %,0 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa","1,000.75 hPa",1.50 mm
10/13/2020,31.6 C,18.0 C,9.4 C,28.2 C,11.5 C,4.9 C,82 %,67 %,0 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",992.52 hPa,1.50 mm
10/14/2020,26.6 C,20.6 C,9.4 C,16.1 C,9.6 C,6.4 C,82 %,51 %,36 %,9.7 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",994.75 hPa,0.00 mm
10/15/2020,29.3 C,20.1 C,9.4 C,15.5 C,12.6 C,6.4 C,82 %,64 %,34 %,20.1 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa","1,000.00 hPa",0.00 mm
10/18/2020,9.4 C,9.4 C,9.4 C,6.4 C,6.4 C,6.4 C,82 %,82 %,82 %,9.7 km/h,9.7 km/h,9.7 km/h,"1,009.25 hPa","1,009.25 hPa",0.00 mm
10/19/2020,21.4 C,15.4 C,9.4 C,12.2 C,9.3 C,6.4 C,82 %,69 %,55 %,35.7 km/h,14.1 km/h,9.3 km/h,"1,009.25 hPa",995.19 hPa,1.02 mm
10/20/2020,16.9 C,14.6 C,9.4 C,15.7 C,14.4 C,6.4 C,99 %,99 %,78 %,25.1 km/h,9.5 km/h,9.3 km/h,"1,009.25 hPa","1,001.02 hPa",48.62 mm
10/21/2020,15.8 C,13.2 C,9.4 C,14.6 C,12.2 C,6.4 C,99 %,94 %,82 %,15.9 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa","1,000.20 hPa",0.00 mm
10/22/2020,22.1 C,17.9 C,9.4 C,20.3 C,17.2 C,6.4 C,99 %,96 %,82 %,16.7 km/h,9.4 km/h,9.3 km/h,"1,009.25 hPa",996.99 hPa,0.00 mm
10/23/2020,26.0 C,20.2 C,9.4 C,22.0 C,19.0 C,6.4 C,99 %,93 %,76 %,14.3 km/h,9.3 km/h,9.3 km/h,"1,009.25 hPa",993.87 hPa,0.00 mm
